new_rank,gene_list,old_rank,overlapped genes or not
0,UBC,11937,0
1,APP,82,0
2,PRKACB,9242,0
3,HNF4A,13568,0
4,PRKACA,10863,0
5,GNB1,12329,0
6,TAF1,NA,0
7,PRKACG,2985,0
8,JUN,6207,1
9,GNGT1,8965,0
10,ARRB1,743,0
11,MYC,5699,0
12,GRK2,NA,0
13,ELAVL1,5326,0
14,REEP1,3826,0
15,GNAL,8117,0
16,ARRB2,14177,0
17,GNG13,4205,0
18,ESR1,5184,0
19,TP53,8876,1
20,SP1,10208,0
21,RTP2,6849,0
22,RTP1,6543,0
23,GNG7,NA,0
24,EP300,531,0
25,EGFR,6582,0
26,TCF4,44,0
27,HIST1H2BN,2,0
28,XPO1,10578,0
29,MAPK1,482,1
30,HSPA8,8835,0
31,HIST1H2BD,9,0
32,SLC17A1,31,0
33,GRK3,NA,0
34,HSP90AB1,2734,0
35,CHEK1,24,0
36,GRB2,2912,0
37,HIST1H4K,0,0
38,PIK3C2A,54,0
39,LYN,267,0
40,UBA52,2662,0
41,SRPK2,195,0
42,HIST1H4L,6,0
43,HSPA5,4810,0
44,OR2B2,14,0
45,SLC17A3,36,0
46,SRC,6636,0
47,TRIM28,8439,0
48,HIST1H1B,4,0
49,HIST1H1E,8,0
50,NTRK1,8560,1
51,NTSR2,11723,0
52,PGBD1,7,1
53,GNAO1,510,0
54,HIST1H2AK,1,0
55,HSP90AA1,NA,0
56,HIST1H3I,5,0
57,INS,13457,1
58,HIST1H4C,42,0
59,PPP1CA,4614,0
60,ZNF184,18,0
61,HDAC1,11471,0
62,HIST1H2AL,3,0
63,HIST1H2BC,34,0
64,ZKSCAN4,10,1
65,FYN,8795,0
66,ACTB,14530,0
67,HSPD1,683,0
68,PLCB2,33,0
69,NT5C2,15,0
70,HIST1H2BL,25,0
71,CTNNB1,14150,1
72,ZSCAN12,11,0
73,HIST1H2AC,35,0
74,GSK3A,7644,1
75,NXF1,4912,0
76,PIK3CA,8229,0
77,HIST1H4J,32,0
78,CDC5L,142,0
79,ZNF165,12,0
80,ZKSCAN3,19,0
81,MAD1L1,20,0
82,HRAS,3482,0
83,HIST1H3C,55,0
84,NTRK3,81,0
85,SMARCA5,517,0
86,CAD,1553,0
87,MAPK3,3104,1
88,CYP2C9,176,1
89,NKAPL,13,1
90,HIST1H2AJ,27,0
91,SUMO1,10713,0
92,AKT1,12140,1
93,CREBBP,5461,0
94,CUL3,4470,0
95,EGF,2097,0
96,EI24,17,0
